"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","hemisphere","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope","method_label","filter_label","k_label","zone_label","qc_plot_label"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate_polar","collection",NA,5,2,"tropical_temperate_polar","Southern",87,78,11,11,0.126436781609195,"Per-cell all-cell OLS","collection_no >= 5","k = 2","T + Te + P","collection_no >= 5 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","collection",NA,5,3,"tropical_temperate","Northern",87,76,19,19,0.218390804597701,"Per-cell all-cell OLS","collection_no >= 5","k = 3","T + Te","collection_no >= 5 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","collection",NA,5,3,"tropical_temperate","Southern",87,78,13,13,0.149425287356322,"Per-cell all-cell OLS","collection_no >= 5","k = 3","T + Te","collection_no >= 5 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","collection",NA,5,3,"tropical_temperate_polar","Northern",87,76,5,5,0.0574712643678161,"Per-cell all-cell OLS","collection_no >= 5","k = 3","T + Te + P","collection_no >= 5 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","collection",NA,5,3,"tropical_temperate_polar","Southern",87,78,8,8,0.0919540229885057,"Per-cell all-cell OLS","collection_no >= 5","k = 3","T + Te + P","collection_no >= 5 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","Northern",87,78,60,60,0.689655172413793,"Per-cell all-cell OLS","occurrence >= 10","k = 1","T + Te","occurrence >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","Southern",87,80,57,57,0.655172413793103,"Per-cell all-cell OLS","occurrence >= 10","k = 1","T + Te","occurrence >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","Northern",87,78,30,30,0.344827586206897,"Per-cell all-cell OLS","occurrence >= 10","k = 1","T + Te + P","occurrence >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","Southern",87,80,29,29,0.333333333333333,"Per-cell all-cell OLS","occurrence >= 10","k = 1","T + Te + P","occurrence >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","Northern",87,78,35,35,0.402298850574713,"Per-cell all-cell OLS","occurrence >= 10","k = 2","T + Te","occurrence >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","Southern",87,80,28,28,0.32183908045977,"Per-cell all-cell OLS","occurrence >= 10","k = 2","T + Te","occurrence >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","occurrence",10,NA,2,"tropical_temperate_polar","Northern",87,78,11,11,0.126436781609195,"Per-cell all-cell OLS","occurrence >= 10","k = 2","T + Te + P","occurrence >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","occurrence",10,NA,2,"tropical_temperate_polar","Southern",87,80,12,12,0.137931034482759,"Per-cell all-cell OLS","occurrence >= 10","k = 2","T + Te + P","occurrence >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","Northern",87,78,19,19,0.218390804597701,"Per-cell all-cell OLS","occurrence >= 10","k = 3","T + Te","occurrence >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","Southern",87,80,15,15,0.172413793103448,"Per-cell all-cell OLS","occurrence >= 10","k = 3","T + Te","occurrence >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","occurrence",10,NA,3,"tropical_temperate_polar","Northern",87,78,3,3,0.0344827586206897,"Per-cell all-cell OLS","occurrence >= 10","k = 3","T + Te + P","occurrence >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","occurrence",10,NA,3,"tropical_temperate_polar","Southern",87,80,8,8,0.0919540229885057,"Per-cell all-cell OLS","occurrence >= 10","k = 3","T + Te + P","occurrence >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","Northern",87,81,64,64,0.735632183908046,"Per-cell all-cell OLS","occurrence >= 5","k = 1","T + Te","occurrence >= 5 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","Southern",87,81,59,59,0.67816091954023,"Per-cell all-cell OLS","occurrence >= 5","k = 1","T + Te","occurrence >= 5 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","Northern",87,81,34,34,0.390804597701149,"Per-cell all-cell OLS","occurrence >= 5","k = 1","T + Te + P","occurrence >= 5 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","Southern",87,81,32,32,0.367816091954023,"Per-cell all-cell OLS","occurrence >= 5","k = 1","T + Te + P","occurrence >= 5 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","Northern",87,81,41,41,0.471264367816092,"Per-cell all-cell OLS","occurrence >= 5","k = 2","T + Te","occurrence >= 5 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","Southern",87,81,33,33,0.379310344827586,"Per-cell all-cell OLS","occurrence >= 5","k = 2","T + Te","occurrence >= 5 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","Northern",87,81,20,20,0.229885057471264,"Per-cell all-cell OLS","occurrence >= 5","k = 2","T + Te + P","occurrence >= 5 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","Southern",87,81,14,14,0.160919540229885,"Per-cell all-cell OLS","occurrence >= 5","k = 2","T + Te + P","occurrence >= 5 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","occurrence",5,NA,3,"tropical_temperate","Northern",87,81,21,21,0.241379310344828,"Per-cell all-cell OLS","occurrence >= 5","k = 3","T + Te","occurrence >= 5 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","occurrence",5,NA,3,"tropical_temperate","Southern",87,81,19,19,0.218390804597701,"Per-cell all-cell OLS","occurrence >= 5","k = 3","T + Te","occurrence >= 5 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","occurrence",5,NA,3,"tropical_temperate_polar","Northern",87,81,6,6,0.0689655172413793,"Per-cell all-cell OLS","occurrence >= 5","k = 3","T + Te + P","occurrence >= 5 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","occurrence",5,NA,3,"tropical_temperate_polar","Southern",87,81,11,11,0.126436781609195,"Per-cell all-cell OLS","occurrence >= 5","k = 3","T + Te + P","occurrence >= 5 | k = 3 | T + Te + P"
