"method_group","slope_metric","qc_name","hemisphere","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,80,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Southern","occurrence",5,NA,2,"tropical_temperate_polar",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","Northern","occurrence",5,NA,3,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","Southern","occurrence",5,NA,3,"tropical_temperate",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","Northern","occurrence",5,NA,3,"tropical_temperate_polar",87,81,0,0,0
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","Southern","occurrence",5,NA,3,"tropical_temperate_polar",87,81,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,50,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,45,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,59,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,62,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,65,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,64,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,69,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,69,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,69,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate_polar","Southern","occurrence",5,NA,2,"tropical_temperate_polar",87,69,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate","Northern","occurrence",5,NA,3,"tropical_temperate",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate","Southern","occurrence",5,NA,3,"tropical_temperate",87,69,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate_polar","Northern","occurrence",5,NA,3,"tropical_temperate_polar",87,67,0,0,0
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate_polar","Southern","occurrence",5,NA,3,"tropical_temperate_polar",87,69,0,0,0
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q50","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,78,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,78,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,78,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k2_tropical_temperate_polar","Southern","occurrence",5,NA,2,"tropical_temperate_polar",87,78,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k3_tropical_temperate","Northern","occurrence",5,NA,3,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k3_tropical_temperate","Southern","occurrence",5,NA,3,"tropical_temperate",87,78,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k3_tropical_temperate_polar","Northern","occurrence",5,NA,3,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q50","occurrence5_k3_tropical_temperate_polar","Southern","occurrence",5,NA,3,"tropical_temperate_polar",87,78,0,0,0
"percentile_latbin_OLS","q60","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q60","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q60","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q60","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q60","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,60,0,0,0
"percentile_latbin_OLS","q60","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,58,0,0,0
"percentile_latbin_OLS","q60","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,60,0,0,0
"percentile_latbin_OLS","q60","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,73,0,0,0
"percentile_latbin_OLS","q60","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,78,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,78,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,74,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,78,0,0,0
"percentile_latbin_OLS","q60","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,74,0,0,0
