"method_group","slope_metric","Analysis scope","QC Scenario","Group 1","Group 2","n1","n2","Median difference","W statistics","p value","p-adjusted value"
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k2_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Northern","collection10_k3_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k1_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k2_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence5_k3_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k1_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k2_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","occurrence10_k3_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k1_tropical_temperate_polar","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coolhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Coolhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Transitional","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Transitional","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate","Warmhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate_polar","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate_polar","Coldhouse","Transitional",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate_polar","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate_polar","Coldhouse","Hothouse",0,0,NA,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Southern","collection5_k2_tropical_temperate_polar","Coolhouse","Transitional",0,0,NA,NA,NA,NA
