"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",0.00585,"Holocene","Cenozoic",0.123529411764706,-0.347942462683734,0.322921921184028,3,2,0.565440698385784,0.619677335393187,1,1,0.840270637703569,1.09352939656189,0.670864383867761,-0.670864383867761,0.0542366370074023,-0.0542366370074023,0.287682072451781,1,1,0,0,0.128938701690759,-0.253258758858318,0.966900017132728
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",1.29585,"Pleistocene","Cenozoic",0.124505928853755,-0.282561111297509,-0.17307088863281,9.5,2,0.658071311667413,0.863894553531812,3,1,0.500627929288124,0.253598203221605,0.109490222664699,-0.109490222664699,0.205823241864399,-0.205823241864399,1.25276296849537,7.5,7.5,0.693147180559945,2,0.179865661273053,0.247029726066519,0.377113066254864
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",3.09,"Piacenzian","Cenozoic",0.857142857142857,-0.822844821800121,-0.686160651913678,3,1.5,1.11188798717778,0.842736068785864,1,1,1.74372279030657,0.678947022055283,0.136684169886443,-0.136684169886443,0.269151918391912,0.269151918391912,0.470003629245736,1.5,1.5,0,0,0.491148856494646,1.06477576825128,1.21133490618093
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",9.438,"Tortonian","Cenozoic",0.263513513513513,-0.570470149671609,-0.52666940584394,5,2,0.763483615774353,0.774596669241483,1,2,1.16757516881308,8.88178419700125e-16,0.0438007438276693,-0.0438007438276693,0.0111130534671302,-0.0111130534671302,0.693147180559945,3,3,0.405465108108164,-1,0.773609109031123,1.16757516881308,0.583787584406542
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",69.1,"Maastrichtian","Mesozoic",0.423005565862709,-0.0650735734843193,-0.23702508097141,3.5,1.5,1.09361861083858,1.05861284567343,1,1,0.987392511727543,0.89192979103164,0.17195150748709,0.17195150748709,0.0350057651651545,0.0350057651651545,0.587786664902119,2,2,0,0,0.0492261223272673,0.0954627206959037,0.939661151379592
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",77.9,"Campanian","Mesozoic",0.456521739130435,-0.431669433619247,0.157934592267032,8,2,0.899905477077931,1.09544511501033,1,2,0.574850227200152,0.14696708320814,0.58960402588628,-0.58960402588628,0.195539637932401,-0.195539637932401,1.09861228866811,6,6,0.405465108108164,-1,0.317039034341323,0.427883143992011,0.360908655204146
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",91.85,"Turonian","Mesozoic",1.33333333333333,-0.0934757479826672,-0.323205408168489,6.5,1.5,0.866381719538575,1.14017542509914,3,1,0.154290178802056,0.588789211816953,0.229729660185822,0.229729660185822,0.273793705560563,-0.273793705560563,1.09861228866811,5,5,0.693147180559945,2,0.319486632896026,-0.434499033014897,0.371539695309505
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",97.2,"Cenomanian","Mesozoic",0.97737556561086,-0.213523388403013,0.127449453942699,10,1.5,0.911290199107627,0.739422451735256,2,1,0.768261082242831,0.297078378938289,0.340972842345712,-0.340972842345712,0.171867747372371,0.171867747372371,1.48160454092422,8.5,8.5,0.405465108108164,1,0.309882289809543,0.471182703304541,0.53266973059056
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",106.85,"Albian","Mesozoic",0.0391304347826087,-0.265468907600603,0.128560051204089,6,3,0.582237065120385,0.831788107378652,2,1,0.716429098816074,0.507293180874148,0.394028958804692,-0.394028958804692,0.249551042258266,-0.249551042258266,0.559615787935423,3,3,0.405465108108164,1,0.129930580634372,0.209135917941926,0.611861139845111
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",117.3,"Aptian","Mesozoic",0.110837438423645,-0.460082128750742,0.0445000012097395,3.5,2,0.891497691065317,0.645233702322069,1,1,0.652996135029589,0.309334900730282,0.504582129960482,-0.504582129960482,0.246263988743248,0.246263988743248,0.405465108108164,1.5,1.5,0,0,0.233070181762212,0.343661234299306,0.481165517879935
